time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-07-20 00:00:00+00:00,379,15,2383,297
2023-07-21 00:00:00+00:00,665,26,3570,528
2023-07-22 00:00:00+00:00,85,10,1337,167
2023-07-23 00:00:00+00:00,37,10,1155,149
2023-07-24 00:00:00+00:00,406,28,5410,741
2023-07-25 00:00:00+00:00,590,18,5480,683
2023-07-26 00:00:00+00:00,362,18,5204,683
2023-07-27 00:00:00+00:00,370,17,5629,735
2023-07-28 00:00:00+00:00,393,32,4354,567
2023-07-29 00:00:00+00:00,13,7,1229,179
2023-07-30 00:00:00+00:00,52,19,1403,194
2023-07-31 00:00:00+00:00,608,27,5580,688
2023-08-01 00:00:00+00:00,533,22,5194,710
2023-08-02 00:00:00+00:00,534,22,5677,749
2023-08-03 00:00:00+00:00,82,10,2525,356
